Difference: 0.031352999999999895 - min/max (50 pop, 20 it)

{'node1': 'RED1', 'node2': 'J37', 'distance': 0.13876848774954836, 'coeff': 0.0031475386295106156, 'pipe_found': True}
{'node1': 'SW/SD', 'node2': 'SD1', 'distance': 0.22257691443643585, 'coeff': 0.019613034786827455, 'pipe_found': True}
{'node1': 'SW/SD', 'node2': 'SW3', 'distance': 0.1277137013140119, 'coeff': 0.004468557146884766, 'pipe_found': True}
{'node1': 'SW3', 'node2': 'J41', 'distance': 0.10601306164025184, 'coeff': 0.0018893624617143199, 'pipe_found': True}
{'node1': 'ZD4', 'node2': 'HP28', 'distance': 0.12957895590786628, 'coeff': 0.0017110383482841552, 'pipe_found': True}
{'node1': 'HP28', 'node2': 'ZD5', 'distance': 0.20738565578712206, 'coeff': 0.0005103144322996412, 'pipe_found': True}
{'node1': 'ZD6', 'node2': 'HP27', 'distance': 0.1455758017183583, 'coeff': 0.015950855962221545, 'pipe_found': True}
{'node1': 'ZD5', 'node2': 'ZD6', 'distance': 0.11793975176624238, 'coeff': 0.0005240401353261093, 'pipe_found': True}
{'node1': 'HP27', 'node2': 'ZD7', 'distance': 0.17357916973795176, 'coeff': 0.007196977501937452, 'pipe_found': True}
{'node1': 'ZD7', 'node2': 'J25', 'distance': 0.15717639772431058, 'coeff': 0.006412209521616053, 'pipe_found': True}
{'node1': 'SO2', 'node2': 'SO/SD', 'distance': 0.10367011223641134, 'coeff': 0.012308608260103783, 'pipe_found': True}
{'node1': 'ZD1', 'node2': 'ZD2', 'distance': 0.1862444289050644, 'coeff': 0.009390135598432992, 'pipe_found': True}
{'node1': 'ZD2', 'node2': 'ZD3', 'distance': 0.20877843684882091, 'coeff': 0.006305804122390535, 'pipe_found': True}
{'node1': 'SO2', 'node2': 'SD11', 'distance': 0.1229393818429899, 'coeff': 0.027096285218822215, 'pipe_found': True}
{'node1': 'SD11', 'node2': 'SD12', 'distance': 0.18741901496726623, 'coeff': 0.008775022969535818, 'pipe_found': True}
{'node1': 'SO/SD', 'node2': 'SO3', 'distance': 0.1193041290372948, 'coeff': 0.002869983638086149, 'pipe_found': True}
{'node1': 'SO3', 'node2': 'SW/SO_Z', 'distance': 0.12309102854557326, 'coeff': 0.0020847544515494756, 'pipe_found': True}
{'node1': 'SW4', 'node2': 'SW5', 'distance': 0.18930206295567525, 'coeff': 0.006893519865903264, 'pipe_found': True}
{'node1': 'SW5', 'node2': 'SW6', 'distance': 0.13295091551246987, 'coeff': 0.025603818716421946, 'pipe_found': True}
{'node1': 'SW6_Z', 'node2': 'HP26', 'distance': 0.16019625146939234, 'coeff': 0.0013324873557240546, 'pipe_found': True}
{'node1': 'HP26', 'node2': 'SW7.2', 'distance': 0.21182897898504305, 'coeff': 0.015530390415207797, 'pipe_found': True}
{'node1': 'SW7.2', 'node2': 'SD3', 'distance': 0.11810209573520868, 'coeff': 0.0031641488742547245, 'pipe_found': True}
