{'node1': 'RED1', 'node2': 'J37', 'distance': 0.5206750757920421, 'coeff': 0.1, 'pipe_found': True}
{'node1': 'SW1', 'node2': 'SW2', 'distance': 0.4325277690016808, 'coeff': 0.026277078382808884, 'pipe_found': True}
{'node1': 'SW/SD', 'node2': 'SD1', 'distance': 0.7823327014030648, 'coeff': 0.034160914612743676, 'pipe_found': True}
{'node1': 'SW/SD', 'node2': 'SW3', 'distance': 0.6765299888898044, 'coeff': 0.0031660190917872535, 'pipe_found': True}
{'node1': 'SW3', 'node2': 'J41', 'distance': 0.1842063439751176, 'coeff': 0.034847431135067844, 'pipe_found': True}
{'node1': 'ZD4', 'node2': 'HP28', 'distance': 0.46703624274572675, 'coeff': 0.06647156546237983, 'pipe_found': True}
{'node1': 'HP28', 'node2': 'ZD5', 'distance': 0.3059846341391397, 'coeff': 0.06527917209391783, 'pipe_found': True}
{'node1': 'ZD6', 'node2': 'HP27', 'distance': 0.6856870585061149, 'coeff': 0.02014482957894246, 'pipe_found': True}
{'node1': 'ZD5', 'node2': 'ZD6', 'distance': 0.6734032122891175, 'coeff': 0.019766699044525396, 'pipe_found': True}
{'node1': 'HP27', 'node2': 'ZD7', 'distance': 0.36918725182833123, 'coeff': 0.1, 'pipe_found': True}
{'node1': 'ZD7', 'node2': 'J25', 'distance': 0.8147222076826541, 'coeff': 0.04576371653082692, 'pipe_found': True}
{'node1': 'SO2', 'node2': 'SO/SD', 'distance': 0.9, 'coeff': 0.09732401122613982, 'pipe_found': True}
{'node1': 'ZD1', 'node2': 'ZD2', 'distance': 0.5591416064536087, 'coeff': 0.0038199575493534366, 'pipe_found': True}
{'node1': 'ZD2', 'node2': 'ZD3', 'distance': 0.392327481766803, 'coeff': 0.07083362162983456, 'pipe_found': True}
{'node1': 'SO2', 'node2': 'SD11', 'distance': 0.1, 'coeff': 0.05743515822644017, 'pipe_found': True}
{'node1': 'SD11', 'node2': 'SD12', 'distance': 0.9, 'coeff': 0.03430538087033446, 'pipe_found': True}
{'node1': 'SO/SD', 'node2': 'SO3', 'distance': 0.1, 'coeff': 0.08543643135418648, 'pipe_found': True}
{'node1': 'SO3', 'node2': 'SW/SO_Z', 'distance': 0.6053006520922312, 'coeff': 0.007614807186594207, 'pipe_found': True}
{'node1': 'SW4', 'node2': 'SW5', 'distance': 0.5020432471992713, 'coeff': 0.02273683309504009, 'pipe_found': True}
{'node1': 'SW5', 'node2': 'SW6', 'distance': 0.5686417448962662, 'coeff': 0.0883955715503873, 'pipe_found': True}
{'node1': 'SW6_Z', 'node2': 'HP26', 'distance': 0.1, 'coeff': 0.08175590843346386, 'pipe_found': True}
{'node1': 'SW7.2', 'node2': 'SD3', 'distance': 0.3312500956486555, 'coeff': 0.020218034675689, 'pipe_found': True}
